=== 表1-A: 地图节点 (MAP Nodes) ===
节点类型,节点ID,节点名称,所属地图,等级范围,入口房间,房间数
ROOM,emei_temple,峨眉金顶,青云山,15-30,,
ROOM,emei_hall,峨眉万法堂,青云山,15-30,,
ROOM,mingjiao_hall,明教光明顶,火山熔岩,45-60,,
ROOM,mingjiao_sanctum,明教密殿,火山熔岩,45-60,,
ROOM,xiaoyao_valley,逍遥谷,东海仙岛,40-60,,
ROOM,xiaoyao_pavilion,逍遥阁,东海仙岛,40-60,,
ROOM,gaibang_hq,丐帮总舵,洛阳城,10-50,,
ROOM,gaibang_hall,丐帮议事厅,洛阳城,10-50,,
ROOM,forest_waterfall,林中瀑布,迷雾森林,5-15,,
ROOM,herbalist_hut,药师草庐,迷雾森林,5-15,,
ROOM,city_docks,洛阳码头,洛阳城,10-50,,
ROOM,city_residential,民居区,洛阳城,10-50,,
ROOM,city_temple,城隍庙,洛阳城,10-50,,
ROOM,city_bridge,石桥,洛阳城,10-50,,
ROOM,mountain_cliff,山崖,青云山,15-30,,
ROOM,mountain_spring,山泉,青云山,15-30,,
ROOM,mountain_bridge,铁索桥,青云山,15-30,,
ROOM,sky_path,天路,青云山,15-30,,
ROOM,heaven_gate,天之门,青云山,15-30,,
ROOM,celestial_palace,天宫,青云山,15-30,,
ROOM,desert_bazaar,沙漠集市,大漠荒原,25-40,,
ROOM,desert_pyramid,金字塔,大漠荒原,25-40,,
ROOM,pyramid_interior,金字塔内,大漠荒原,25-40,,
ROOM,pyramid_tomb,法老之墓,大漠荒原,25-40,,
ROOM,graveyard_entrance,乱葬岗,迷雾森林,5-15,,
ROOM,graveyard_deep,墓地深处,迷雾森林,5-15,,
ROOM,crypt,地下墓穴,迷雾森林,5-15,,
ROOM,lakeside,湖畔,新手村,1-10,,
ROOM,lake_village,渔村,新手村,1-10,,
ROOM,lake_island,湖心岛,新手村,1-10,,
ROOM,underwater_cave,水下洞穴,新手村,1-10,,
ROOM,cave_network,地下洞穴,地下迷宫,30-45,,
ROOM,bandit_camp,山贼营地,迷雾森林,5-15,,
ROOM,bandit_stronghold,山贼山寨,迷雾森林,5-15,,
ROOM,canyon_entrance,峡谷入口,青云山,15-30,,
ROOM,canyon_deep,峡谷深处,青云山,15-30,,
ROOM,canyon_cross,峡谷岔路,青云山,15-30,,
ROOM,canyon_abyss,深渊谷底,青云山,15-30,,
ROOM,crystal_cave,水晶洞,地下迷宫,30-45,,
ROOM,city_rich,富人区,洛阳城,10-50,,
ROOM,auction_house,拍卖行,洛阳城,10-50,,
ROOM,city_slums,贫民窟,洛阳城,10-50,,
ROOM,gambling_den,地下赌坊,洛阳城,10-50,,
ROOM,tea_house,清风茶楼,洛阳城,10-50,,
ROOM,ancient_tree,万年古树,迷雾森林,5-15,,
ROOM,tree_canopy,树冠之上,迷雾森林,5-15,,
ROOM,cloud_sea,云海,青云山,15-30,,
ROOM,hot_springs,山间温泉,青云山,15-30,,
ROOM,coastal_cliff,海崖,东海仙岛,40-60,,
ROOM,pirate_cove,海盗湾,东海仙岛,40-60,,
ROOM,pirate_ship,幽灵海盗船,东海仙岛,40-60,,
ROOM,captain_cabin,船长室,东海仙岛,40-60,,
ROOM,ancient_battlefield,古战场,大漠荒原,25-40,,
ROOM,secret_garden,秘境花园,迷雾森林,5-15,,
ROOM,snow_peak,雪山顶,雪域高原,35-50,,
ROOM,snow_monastery,雪寺,雪域高原,35-50,,
ROOM,swamp_village,沼泽村落,毒沼泽,20-35,,
ROOM,swamp_altar,沼泽祭坛,毒沼泽,20-35,,
ROOM,demon_prison,魔族监狱,魔域深渊,60-80,,
ROOM,demon_treasury,魔族宝库,魔域深渊,60-80,,
ROOM,plains,草原,新手村,1-10,,
ROOM,plains_camp,游牧营地,新手村,1-10,,
ROOM,plains_lake,草原湖泊,新手村,1-10,,
ROOM,plains_ruins,草原遗迹,新手村,1-10,,
ROOM,mushroom_forest,蘑菇林,迷雾森林,5-15,,
ROOM,wind_valley,风之谷,青云山,15-30,,
ROOM,bamboo_temple,竹林禅院,迷雾森林,5-15,,
ROOM,bamboo_hall,禅院武堂,迷雾森林,5-15,,
ROOM,dragon_graveyard,龙墓,青云山,15-30,,
ROOM,jiao_shrine,龙神殿,青云山,15-30,,
ROOM,rainbow_bridge,彩虹桥,青云山,15-30,,
ROOM,fire_shrine,炎之殿,火山熔岩,45-60,,
ROOM,water_shrine,水之殿,东海仙岛,40-60,,
ROOM,mirror_lake,镜湖,迷雾森林,5-15,,
ROOM,phoenix_peak,凤凰台,青云山,15-30,,
ROOM,phoenix_nest,凤凰巢,青云山,15-30,,
ROOM,time_tower,时光塔,大漠荒原,25-40,,
ROOM,time_tower_top,时光之巅,大漠荒原,25-40,,
ROOM,shadow_realm,暗影界,魔域深渊,60-80,,
ROOM,shadow_throne,暗影王座,魔域深渊,60-80,,
ROOM,xuankong_temple,悬空寺,青云山,15-30,,
ROOM,xuankong_hall,悬空大殿,青云山,15-30,,
ROOM,underground_river,地下暗河,地下迷宫,30-45,,
ROOM,abyss_waterfall,深渊瀑布,地下迷宫,30-45,,
ROOM,thunder_peak,雷霆峰,青云山,15-30,,
ROOM,thunder_shrine,雷神殿,青云山,15-30,,
ROOM,mist_valley,迷雾谷,迷雾森林,5-15,,
ROOM,jade_palace,玉虚宫,青云山,15-30,,
ROOM,starlit_bridge,星光桥,青云山,15-30,,
ROOM,void_edge,虚空边缘,青云山,15-30,,
ROOM,jiao_palace,海底水府,东海仙岛,40-60,,
ROOM,coral_garden,珊瑚园,东海仙岛,40-60,,
ROOM,dragon_throne_room,龙王殿,东海仙岛,40-60,,
ROOM,sky_bazaar,云中集市,青云山,15-30,,
ROOM,underground_city,地下城,地下迷宫,30-45,,
ROOM,underground_market,地下集市,地下迷宫,30-45,,
ROOM,opera_house,梨园,洛阳城,10-50,,
ROOM,observatory,观星台,洛阳城,10-50,,
ROOM,cherry_garden,樱园,迷雾森林,5-15,,
ROOM,lava_tubes,熔岩通道,火山熔岩,45-60,,
ROOM,volcano_core,地核之心,火山熔岩,45-60,,
ROOM,warrior_tombs,侠客陵,青云山,15-30,,
ROOM,city_center,洛阳城中心,洛阳城,10-50,,
ROOM,city_north,洛阳北街,洛阳城,10-50,,
ROOM,city_south,洛阳南街,洛阳城,10-50,,
ROOM,city_east,洛阳东街,洛阳城,10-50,,
ROOM,city_west,洛阳西街,洛阳城,10-50,,
ROOM,shaolin_gate,少林寺山门,青云山,15-30,,
ROOM,wudang_gate,武当山山门,青云山,15-30,,
ROOM,emei_gate,峨眉派山门,青云山,15-30,,
ROOM,gaibang_gate,丐帮总舵入口,洛阳城,10-50,,
ROOM,mingjiao_gate,明教光明顶入口,火山熔岩,45-60,,
ROOM,xiaoyao_gate,逍遥派入口,东海仙岛,40-60,,

=== 表1-B: 房间出口连线 (Room Exits / Edges) ===
起点房间ID,起点房间名,起点地图,方向(EN),方向(CN),终点房间ID,终点房间名,终点地图,跨地图连接
village_center,村庄广场,新手村,north,北,village_inn,客栈,新手村,
village_center,村庄广场,新手村,east,东,village_shop,杂货铺,新手村,
village_center,村庄广场,新手村,south,南,village_training,练武场,新手村,
village_center,村庄广场,新手村,west,西,village_blacksmith,铁匠铺,新手村,
village_center,村庄广场,新手村,out,出去,forest_entrance,森林入口,迷雾森林,是
village_center,村庄广场,新手村,south_east,东南,village_field,村外田野,新手村,
village_inn,客栈,新手村,south,南,village_center,村庄广场,新手村,
village_blacksmith,铁匠铺,新手村,east,东,village_center,村庄广场,新手村,
village_shop,杂货铺,新手村,west,西,village_center,村庄广场,新手村,
village_training,练武场,新手村,north,北,village_center,村庄广场,新手村,
forest_entrance,森林入口,迷雾森林,in,in,forest_deep,森林深处,迷雾森林,
forest_entrance,森林入口,迷雾森林,back,back,village_center,村庄广场,新手村,是
forest_deep,森林深处,迷雾森林,north,北,forest_clearing,林间空地,迷雾森林,
forest_deep,森林深处,迷雾森林,south,南,forest_cave,神秘洞穴,迷雾森林,
forest_deep,森林深处,迷雾森林,in,in,forest_cave,神秘洞穴,迷雾森林,
forest_deep,森林深处,迷雾森林,out,出去,forest_entrance,森林入口,迷雾森林,
forest_deep,森林深处,迷雾森林,back,back,swamp_entrance,沼泽边缘,毒沼泽,是
forest_clearing,林间空地,迷雾森林,south,南,forest_deep,森林深处,迷雾森林,
forest_cave,神秘洞穴,迷雾森林,out,出去,forest_deep,森林深处,迷雾森林,
forest_cave,神秘洞穴,迷雾森林,west,西,deep_forest,密林深处,迷雾森林,
city_gate,城门,洛阳城,in,in,city_square,城市广场,洛阳城,
city_gate,城门,洛阳城,out,出去,mountain_path,山道,青云山,是
city_square,城市广场,洛阳城,north,北,city_tavern,醉仙楼,洛阳城,
city_square,城市广场,洛阳城,east,东,city_market,集市,洛阳城,
city_square,城市广场,洛阳城,south,南,city_arena,竞技场,洛阳城,
city_square,城市广场,洛阳城,west,西,city_guild,侠客公会,洛阳城,
city_square,城市广场,洛阳城,out,出去,city_gate,城门,洛阳城,
city_tavern,醉仙楼,洛阳城,south,南,city_square,城市广场,洛阳城,
city_market,集市,洛阳城,west,西,city_square,城市广场,洛阳城,
city_arena,竞技场,洛阳城,north,北,city_square,城市广场,洛阳城,
city_guild,侠客公会,洛阳城,east,东,city_square,城市广场,洛阳城,
mountain_path,山道,青云山,up,上,mountain_peak,山顶,青云山,
mountain_path,山道,青云山,down,下,city_gate,城门,洛阳城,是
mountain_path,山道,青云山,west,西,bamboo_grove,竹林,迷雾森林,是
mountain_path,山道,青云山,east,东,emei_gate,峨眉派山门,青云山,
mountain_peak,山顶,青云山,temple,temple,mountain_temple,青云观,青云山,
mountain_peak,山顶,青云山,down,下,mountain_path,山道,青云山,
mountain_temple,青云观,青云山,out,出去,mountain_peak,山顶,青云山,
desert_entrance,荒漠入口,大漠荒原,in,in,desert_oasis,绿洲,大漠荒原,
desert_entrance,荒漠入口,大漠荒原,back,back,city_gate,城门,洛阳城,是
desert_oasis,绿洲,大漠荒原,north,北,desert_ruins,古城遗址,大漠荒原,
desert_oasis,绿洲,大漠荒原,out,出去,desert_entrance,荒漠入口,大漠荒原,
desert_ruins,古城遗址,大漠荒原,down,下,desert_tomb,地下陵墓,大漠荒原,
desert_ruins,古城遗址,大漠荒原,south,南,desert_oasis,绿洲,大漠荒原,
desert_tomb,地下陵墓,大漠荒原,up,上,desert_ruins,古城遗址,大漠荒原,
snow_pass,雪山关隘,雪域高原,up,上,snow_village,雪村,雪域高原,
snow_pass,雪山关隘,雪域高原,down,下,mountain_path,山道,青云山,是
snow_pass,雪山关隘,雪域高原,north,北,snow_field,雪原,青云山,是
snow_village,雪村,雪域高原,north,北,snow_cave,冰洞,雪域高原,
snow_village,雪村,雪域高原,east,东,snow_palace,冰宫,雪域高原,
snow_village,雪村,雪域高原,down,下,snow_pass,雪山关隘,雪域高原,
snow_cave,冰洞,雪域高原,south,南,snow_village,雪村,雪域高原,
snow_cave,冰洞,雪域高原,west,西,snow_field,雪原,青云山,是
snow_palace,冰宫,雪域高原,west,西,snow_village,雪村,雪域高原,
swamp_entrance,沼泽边缘,毒沼泽,in,in,swamp_deep,沼泽深处,毒沼泽,
swamp_entrance,沼泽边缘,毒沼泽,back,back,forest_deep,森林深处,迷雾森林,是
swamp_deep,沼泽深处,毒沼泽,north,北,swamp_island,沼泽孤岛,毒沼泽,
swamp_deep,沼泽深处,毒沼泽,out,出去,swamp_entrance,沼泽边缘,毒沼泽,
swamp_island,沼泽孤岛,毒沼泽,north,北,swamp_lair,毒蛟巢穴,毒沼泽,
swamp_island,沼泽孤岛,毒沼泽,south,南,swamp_deep,沼泽深处,毒沼泽,
swamp_lair,毒蛟巢穴,毒沼泽,south,南,swamp_island,沼泽孤岛,毒沼泽,
island_beach,仙岛海滩,东海仙岛,in,in,island_forest,仙岛密林,东海仙岛,
island_forest,仙岛密林,东海仙岛,up,上,island_peak,仙岛山顶,东海仙岛,
island_forest,仙岛密林,东海仙岛,out,出去,island_beach,仙岛海滩,东海仙岛,
island_peak,仙岛山顶,东海仙岛,cave,cave,island_cave,仙人洞府,东海仙岛,
island_peak,仙岛山顶,东海仙岛,down,下,island_forest,仙岛密林,东海仙岛,
island_cave,仙人洞府,东海仙岛,out,出去,island_peak,仙岛山顶,东海仙岛,
underground_entrance,迷宫入口,地下迷宫,down,下,underground_hall,中央大厅,地下迷宫,
underground_entrance,迷宫入口,地下迷宫,up,上,mountain_temple,青云观,青云山,是
underground_hall,中央大厅,地下迷宫,north,北,underground_prison,囚牢区,地下迷宫,
underground_hall,中央大厅,地下迷宫,east,东,underground_treasure,宝藏室,地下迷宫,
underground_hall,中央大厅,地下迷宫,up,上,underground_entrance,迷宫入口,地下迷宫,
underground_prison,囚牢区,地下迷宫,south,南,underground_hall,中央大厅,地下迷宫,
underground_treasure,宝藏室,地下迷宫,west,西,underground_hall,中央大厅,地下迷宫,
volcano_base,火山脚下,火山熔岩,up,上,volcano_crater,火山口,火山熔岩,
volcano_base,火山脚下,火山熔岩,back,back,desert_ruins,古城遗址,大漠荒原,是
volcano_crater,火山口,火山熔岩,in,in,volcano_lair,火蛟巢穴,火山熔岩,
volcano_crater,火山口,火山熔岩,forge,forge,volcano_forge,熔火锻造,火山熔岩,
volcano_crater,火山口,火山熔岩,down,下,volcano_base,火山脚下,火山熔岩,
volcano_lair,火蛟巢穴,火山熔岩,out,出去,volcano_crater,火山口,火山熔岩,
volcano_forge,熔火锻造,火山熔岩,out,出去,volcano_crater,火山口,火山熔岩,
palace_gate,宫门,皇宫禁地,in,in,palace_courtyard,御花园,皇宫禁地,
palace_gate,宫门,皇宫禁地,out,出去,city_square,城市广场,洛阳城,是
palace_courtyard,御花园,皇宫禁地,north,北,palace_hall,金銮殿,皇宫禁地,
palace_courtyard,御花园,皇宫禁地,east,东,palace_garden,后花园,皇宫禁地,
palace_courtyard,御花园,皇宫禁地,west,西,palace_library,皇家藏书阁,皇宫禁地,
palace_courtyard,御花园,皇宫禁地,out,出去,palace_gate,宫门,皇宫禁地,
palace_hall,金銮殿,皇宫禁地,south,南,palace_courtyard,御花园,皇宫禁地,
palace_garden,后花园,皇宫禁地,west,西,palace_courtyard,御花园,皇宫禁地,
palace_library,皇家藏书阁,皇宫禁地,east,东,palace_courtyard,御花园,皇宫禁地,
demon_portal,魔域入口,魔域深渊,in,in,demon_fortress,魔族堡垒,魔域深渊,
demon_portal,魔域入口,魔域深渊,back,back,volcano_lair,火蛟巢穴,火山熔岩,是
demon_fortress,魔族堡垒,魔域深渊,north,北,demon_arena,魔族竞技场,魔域深渊,
demon_fortress,魔族堡垒,魔域深渊,east,东,demon_throne,魔王殿,魔域深渊,
demon_fortress,魔族堡垒,魔域深渊,out,出去,demon_portal,魔域入口,魔域深渊,
demon_arena,魔族竞技场,魔域深渊,south,南,demon_fortress,魔族堡垒,魔域深渊,
demon_throne,魔王殿,魔域深渊,west,西,demon_fortress,魔族堡垒,魔域深渊,
forest_path,林间小径,迷雾森林,north,北,village_center,村庄广场,新手村,是
forest_path,林间小径,迷雾森林,south,南,deep_forest,密林深处,迷雾森林,
deep_forest,密林深处,迷雾森林,north,北,forest_path,林间小径,迷雾森林,
deep_forest,密林深处,迷雾森林,east,东,forest_cave,神秘洞穴,迷雾森林,
village_field,村外田野,新手村,west,西,village_center,村庄广场,新手村,
river_bank,河边,新手村,east,东,village_center,村庄广场,新手村,
dark_cave,黑暗洞窟,迷雾森林,west,西,deep_forest,密林深处,迷雾森林,
snow_field,雪原,青云山,south,南,snow_pass,雪山关隘,雪域高原,是
snow_field,雪原,青云山,east,东,snow_cave,冰洞,雪域高原,是
bamboo_grove,竹林,迷雾森林,south,南,forest_path,林间小径,迷雾森林,
bamboo_grove,竹林,迷雾森林,east,东,mountain_path,山道,青云山,是
shaolin_temple,少林寺,青云山,south,南,mountain_temple,青云观,青云山,
shaolin_temple,少林寺,青云山,north,北,shaolin_pagoda,少林塔林,青云山,
shaolin_pagoda,少林塔林,青云山,south,南,shaolin_temple,少林寺,青云山,
wudang_peak,武当山,青云山,east,东,mountain_peak,山顶,青云山,
wudang_peak,武当山,青云山,up,上,wudang_hall,武当真武殿,青云山,
wudang_hall,武当真武殿,青云山,down,下,wudang_peak,武当山,青云山,
emei_temple,峨眉金顶,青云山,west,西,emei_gate,峨眉派山门,青云山,
emei_temple,峨眉金顶,青云山,east,东,emei_hall,峨眉万法堂,青云山,
emei_hall,峨眉万法堂,青云山,west,西,emei_temple,峨眉金顶,青云山,
mingjiao_hall,明教光明顶,火山熔岩,down,下,volcano_crater,火山口,火山熔岩,
mingjiao_hall,明教光明顶,火山熔岩,north,北,mingjiao_sanctum,明教密殿,火山熔岩,
mingjiao_sanctum,明教密殿,火山熔岩,south,南,mingjiao_hall,明教光明顶,火山熔岩,
xiaoyao_valley,逍遥谷,东海仙岛,north,北,island_cave,仙人洞府,东海仙岛,
xiaoyao_valley,逍遥谷,东海仙岛,south,南,xiaoyao_pavilion,逍遥阁,东海仙岛,
xiaoyao_pavilion,逍遥阁,东海仙岛,north,北,xiaoyao_valley,逍遥谷,东海仙岛,
gaibang_hq,丐帮总舵,洛阳城,east,东,city_square,城市广场,洛阳城,
gaibang_hq,丐帮总舵,洛阳城,north,北,gaibang_hall,丐帮议事厅,洛阳城,
gaibang_hall,丐帮议事厅,洛阳城,south,南,gaibang_hq,丐帮总舵,洛阳城,
forest_waterfall,林中瀑布,迷雾森林,south,南,forest_deep,森林深处,迷雾森林,
forest_waterfall,林中瀑布,迷雾森林,up,上,mountain_spring,山泉,青云山,是
herbalist_hut,药师草庐,迷雾森林,east,东,forest_path,林间小径,迷雾森林,
city_docks,洛阳码头,洛阳城,east,东,city_gate,城门,洛阳城,
city_docks,洛阳码头,洛阳城,sail,sail,island_beach,仙岛海滩,东海仙岛,是
city_residential,民居区,洛阳城,north,北,city_square,城市广场,洛阳城,
city_residential,民居区,洛阳城,east,东,city_temple,城隍庙,洛阳城,
city_temple,城隍庙,洛阳城,west,西,city_residential,民居区,洛阳城,
city_temple,城隍庙,洛阳城,south,南,city_bridge,石桥,洛阳城,
city_bridge,石桥,洛阳城,north,北,city_temple,城隍庙,洛阳城,
city_bridge,石桥,洛阳城,south,南,city_gate,城门,洛阳城,
mountain_cliff,山崖,青云山,down,下,mountain_path,山道,青云山,
mountain_cliff,山崖,青云山,east,东,mountain_spring,山泉,青云山,
mountain_spring,山泉,青云山,down,下,forest_waterfall,林中瀑布,迷雾森林,是
mountain_spring,山泉,青云山,west,西,mountain_cliff,山崖,青云山,
mountain_bridge,铁索桥,青云山,west,西,mountain_peak,山顶,青云山,
mountain_bridge,铁索桥,青云山,east,东,sky_path,天路,青云山,
sky_path,天路,青云山,west,西,mountain_bridge,铁索桥,青云山,
sky_path,天路,青云山,up,上,heaven_gate,天之门,青云山,
heaven_gate,天之门,青云山,down,下,sky_path,天路,青云山,
heaven_gate,天之门,青云山,in,in,celestial_palace,天宫,青云山,
celestial_palace,天宫,青云山,out,出去,heaven_gate,天之门,青云山,
desert_bazaar,沙漠集市,大漠荒原,south,南,desert_oasis,绿洲,大漠荒原,
desert_bazaar,沙漠集市,大漠荒原,west,西,desert_pyramid,金字塔,大漠荒原,
desert_pyramid,金字塔,大漠荒原,east,东,desert_bazaar,沙漠集市,大漠荒原,
desert_pyramid,金字塔,大漠荒原,in,in,pyramid_interior,金字塔内,大漠荒原,
pyramid_interior,金字塔内,大漠荒原,out,出去,desert_pyramid,金字塔,大漠荒原,
pyramid_interior,金字塔内,大漠荒原,down,下,pyramid_tomb,法老之墓,大漠荒原,
pyramid_tomb,法老之墓,大漠荒原,up,上,pyramid_interior,金字塔内,大漠荒原,
graveyard_entrance,乱葬岗,迷雾森林,north,北,deep_forest,密林深处,迷雾森林,
graveyard_entrance,乱葬岗,迷雾森林,south,南,graveyard_deep,墓地深处,迷雾森林,
graveyard_deep,墓地深处,迷雾森林,north,北,graveyard_entrance,乱葬岗,迷雾森林,
graveyard_deep,墓地深处,迷雾森林,down,下,crypt,地下墓穴,迷雾森林,
crypt,地下墓穴,迷雾森林,up,上,graveyard_deep,墓地深处,迷雾森林,
lakeside,湖畔,新手村,west,西,village_field,村外田野,新手村,
lakeside,湖畔,新手村,north,北,lake_village,渔村,新手村,
lakeside,湖畔,新手村,south,南,lake_island,湖心岛,新手村,
lake_village,渔村,新手村,south,南,lakeside,湖畔,新手村,
lake_village,渔村,新手村,east,东,village_field,村外田野,新手村,
lake_island,湖心岛,新手村,north,北,lakeside,湖畔,新手村,
lake_island,湖心岛,新手村,east,东,underwater_cave,水下洞穴,新手村,
underwater_cave,水下洞穴,新手村,west,西,lake_island,湖心岛,新手村,
underwater_cave,水下洞穴,新手村,down,下,cave_network,地下洞穴,地下迷宫,是
cave_network,地下洞穴,地下迷宫,up,上,underwater_cave,水下洞穴,新手村,是
cave_network,地下洞穴,地下迷宫,north,北,dark_cave,黑暗洞窟,迷雾森林,是
cave_network,地下洞穴,地下迷宫,east,东,underground_hall,中央大厅,地下迷宫,
bandit_camp,山贼营地,迷雾森林,south,南,deep_forest,密林深处,迷雾森林,
bandit_camp,山贼营地,迷雾森林,north,北,bandit_stronghold,山贼山寨,迷雾森林,
bandit_stronghold,山贼山寨,迷雾森林,south,南,bandit_camp,山贼营地,迷雾森林,
canyon_entrance,峡谷入口,青云山,south,南,mountain_path,山道,青云山,
canyon_entrance,峡谷入口,青云山,down,下,canyon_deep,峡谷深处,青云山,
canyon_deep,峡谷深处,青云山,up,上,canyon_entrance,峡谷入口,青云山,
canyon_deep,峡谷深处,青云山,south,南,canyon_cross,峡谷岔路,青云山,
canyon_deep,峡谷深处,青云山,east,东,crystal_cave,水晶洞,地下迷宫,是
canyon_cross,峡谷岔路,青云山,north,北,canyon_deep,峡谷深处,青云山,
canyon_cross,峡谷岔路,青云山,west,西,desert_entrance,荒漠入口,大漠荒原,是
canyon_cross,峡谷岔路,青云山,down,下,canyon_abyss,深渊谷底,青云山,
canyon_abyss,深渊谷底,青云山,up,上,canyon_cross,峡谷岔路,青云山,
crystal_cave,水晶洞,地下迷宫,west,西,canyon_deep,峡谷深处,青云山,是
crystal_cave,水晶洞,地下迷宫,down,下,cave_network,地下洞穴,地下迷宫,
city_rich,富人区,洛阳城,west,西,city_square,城市广场,洛阳城,
city_rich,富人区,洛阳城,north,北,auction_house,拍卖行,洛阳城,
auction_house,拍卖行,洛阳城,south,南,city_rich,富人区,洛阳城,
city_slums,贫民窟,洛阳城,south,南,city_residential,民居区,洛阳城,
city_slums,贫民窟,洛阳城,down,下,gambling_den,地下赌坊,洛阳城,
city_slums,贫民窟,洛阳城,east,东,underground_entrance,迷宫入口,地下迷宫,是
gambling_den,地下赌坊,洛阳城,up,上,city_slums,贫民窟,洛阳城,
tea_house,清风茶楼,洛阳城,north,北,city_residential,民居区,洛阳城,
tea_house,清风茶楼,洛阳城,east,东,city_market,集市,洛阳城,
ancient_tree,万年古树,迷雾森林,north,北,forest_clearing,林间空地,迷雾森林,
ancient_tree,万年古树,迷雾森林,up,上,tree_canopy,树冠之上,迷雾森林,
ancient_tree,万年古树,迷雾森林,east,东,deep_forest,密林深处,迷雾森林,
tree_canopy,树冠之上,迷雾森林,down,下,ancient_tree,万年古树,迷雾森林,
